graph_id,vertices,edges,density,variant,source,weight_model,critical_path_length,critical_path,node_durations,operations_count,execution_time_ns
1,6,7,sparse,pure_dag,0,node,8,"[0,1,2]","[2,1,5]",20,37500
2,8,17,sparse,one_cycle,4,node,0,[],[],0,200
3,10,28,sparse,two_cycles,1,node,0,[],[],0,200
4,6,12,dense,pure_dag,0,node,41,"[0,1,2,3,4]","[7,7,10,8,9]",30,24100
5,8,28,dense,one_cycle,2,node,0,[],[],0,200
6,10,42,dense,two_cycles,4,node,0,[],[],0,200
7,14,36,sparse,one_cycle,0,node,0,[],[],0,200
8,16,38,sparse,two_cycles,5,node,0,[],[],0,200
9,20,43,sparse,multiple_sccs,2,node,0,[],[],0,200
10,14,94,dense,one_cycle,4,node,0,[],[],0,100
11,16,113,dense,two_cycles,6,node,0,[],[],0,100
12,20,115,dense,multiple_sccs,2,node,0,[],[],0,100
13,30,147,sparse,pure_dag,0,node,87,"[0,2,3,4,6,8,10,12,13,14,17,18,20,23,26,28]","[9,9,2,5,3,8,3,2,4,8,7,1,9,7,4,6]",324,113600
14,40,109,sparse,multiple_sccs,12,node,0,[],[],0,200
15,50,461,sparse,two_cycles,14,node,0,[],[],0,200
16,30,322,dense,pure_dag,0,node,92,"[0,2,3,4,5,6,7,8,9,11,12,13,15,16,17,19,20,21,22,24,27,28]","[4,8,2,3,2,1,1,4,3,7,6,2,10,5,2,2,4,8,3,6,8,1]",674,199900
17,40,397,dense,multiple_sccs,5,node,0,[],[],0,200
18,50,1307,dense,two_cycles,25,node,0,[],[],0,100
